run_index,profile_name,item_index,product_id,hybrid_score,hybrid_rank,in_hybrid_top7,value_price_pct,shap_price_pct,value_quality_pct,shap_quality_pct,value_popularity_pct,shap_popularity_pct,value_rating_pct,shap_rating_pct,value_recency_pct,shap_recency_pct,value_discount_pct,shap_discount_pct,value_rating_count,shap_rating_count,value_inferred_reviewer_count,shap_inferred_reviewer_count,value_review_text_richness,shap_review_text_richness,shap_base_value,shap_sum_plus_base
4,budget,85,B09V175NP7,0.25253836164829657,231,False,0.3425,-0.03928615281669018,0.5,-0.0008035500169100623,0.8675,0.004202847281772501,0.2125,-0.007506567104422996,0.945,0.004341280206269236,79.0,0.0019197021824000446,21796.0,0.004356966193380749,8.0,3.4828845406705374e-05,1309.0,0.003823637957715878,0.26994218349583693,0.2410251762247588
39,quality_seeker,150,B00O2R38C4,0.33242772949944893,107,False,0.47875,-0.012618185949893177,0.825,0.07734716591426938,0.77,0.0046793824665879395,0.45375,0.00023414290647393707,0.31625,-0.0019757337592630144,33.0,-0.002637758684451509,12999.0,0.003643331048935126,8.0,6.640689700662588e-05,2000.0,-0.015049629311322758,0.26994218349583693,0.32363130502417947
41,balanced,217,B095X38CJS,0.26005244155944435,209,False,0.96875,0.10522629465712727,0.165,-0.07526323872210265,0.1225,-0.0026041062287803095,0.735,0.012894008460123984,0.05125,0.00034240449703610686,0.0,-0.0008731469646270899,388.0,-0.003911359340787965,8.0,3.992120800308554e-05,1079.0,0.008922622584378008,0.26994218349583693,0.3147155836462074
42,quality_seeker,348,B09QGZM8QB,0.3497397438402428,100,False,0.71375,0.02235998867114652,0.74375,0.049126614830346506,0.37125,-0.002574240102890394,0.72875,0.006612587449847455,0.7175,0.0035567830646548422,60.0,0.00731788261263265,2806.0,-0.007191485156672412,8.0,4.793733128379194e-05,2000.0,-0.010778841601651728,0.26994218349583693,0.3384194105945342
25,explorer,53,B00935MGHS,0.24878008160941661,212,False,0.43125,-0.027732865644084066,0.43,-0.00931167076957696,0.565,0.0014507051309814042,0.5775,0.005688300103775765,0.32,-0.0021962857563391815,33.0,-0.00011002893281267027,5967.0,0.00016309211984824362,8.0,4.660742676473344e-05,1150.0,0.012342015247738682,0.26994218349583693,0.25028205242213286
27,balanced,36,B01N1XVVLC,0.12295496108427557,366,False,0.1075,-0.05875914522643911,0.3225,-0.04646609744335377,0.18375,-0.004711140882828267,0.455,0.0011022047952524536,0.40125,-0.0026342202752500524,40.0,-0.00703342362333701,1017.0,-0.004980893160726975,8.0,3.656095503881251e-05,2000.0,-0.028728551535784717,0.26994218349583693,0.11776747709840829
6,loyal,53,B07L1N3TJX,0.15618949361717802,352,False,0.3275,-0.0380179240073241,0.25,-0.060621283809087205,0.635,0.00630654777564116,0.07125,-0.004949716522996101,0.58625,0.002006275524784855,51.0,-0.0034637011093398328,7689.0,0.00486016980073088,8.0,6.292261917271824e-05,2000.0,-0.022526358633817297,0.26994218349583693,0.15359911513360203
39,loyal,181,B08HVJCW95,0.4046117007734322,46,False,0.45125,-0.0368833578028853,0.975,0.14592223628721507,0.98875,0.006067799321277671,0.7475,0.007891500621213687,0.5575,0.00041244551303624375,48.0,-0.0006131362548940581,178912.0,0.0074524812580255215,8.0,0.0007750456812863309,1936.0,-0.0005058899404040199,0.26994218349583693,0.4004613081797081
33,explorer,223,B09P858DK8,0.5700309846766063,8,False,0.655,0.04214120029437921,0.4875,-0.0068830795758908795,0.4375,-0.001987134444173519,0.3,-0.014076453245630366,0.90625,0.0021611078675289447,76.0,0.004755957448867468,3626.0,2.3555187518672085e-06,8.0,3.361830461542297e-05,2000.0,-0.020094250655225108,0.26994218349583693,0.27599550500905995
45,balanced,87,B07L1N3TJX,0.13970201422390102,348,False,0.3075,-0.03759514199871445,0.2575,-0.06373670396856286,0.6275,0.005366512006307648,0.065,-0.005357731320013935,0.59625,0.002268218812139517,51.0,-0.003947366432163294,7689.0,0.004689531982957888,8.0,6.806861985520292e-05,2000.0,-0.023943978813241864,0.26994218349583693,0.14775359238440078
