diagnostic_status,lambda_q,lambda_t,profile,metric,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,explorer,f1_at_7,0.23428571428571426,0.14648455873409275,0.19428571428571428,0.27428571428571424,50,20000,11531112476973344706
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,explorer,ndcg_at_7,0.22381580310593627,0.15403833739644873,0.18189567001165524,0.2668921750201208,50,20000,5583274457542255834
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,loyal,f1_at_7,0.2942857142857143,0.171744121632402,0.24857142857142855,0.34,50,20000,12123949638913289120
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,loyal,ndcg_at_7,0.31670046368611193,0.18389714331742008,0.2660683551859131,0.36690998583842477,50,20000,15791468081009380529
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,balanced,f1_at_7,0.3057142857142857,0.16071995454854837,0.26,0.3514285714285713,50,20000,6789361559650536469
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,balanced,ndcg_at_7,0.3251253717829654,0.1750096567488739,0.2776373748906641,0.37436967655142034,50,20000,4038886354066223134
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,all_profiles_mean_within_run,f1_at_7,0.2731428571428572,0.06560137339710838,0.2554285714285714,0.29085714285714287,50,20000,5629463558827723035
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,all_profiles_mean_within_run,ndcg_at_7,0.28804171917082655,0.07577823810261677,0.2676572661632041,0.30873038035501554,50,20000,9345040987912916859
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,budget,f1_at_7,0.2857142857142857,0.17316900763752185,0.23999999999999994,0.33428571428571424,50,20000,5956443093926186648
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,budget,ndcg_at_7,0.3175688590221524,0.19971652334175063,0.2637283272744812,0.37302043717772415,50,20000,7358406539842916467
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,quality_seeker,f1_at_7,0.16,0.12460683691815304,0.12571428571428572,0.19428571428571428,50,20000,1080600967471232394
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,quality_seeker,ndcg_at_7,0.1805548729410883,0.15284305114788113,0.13971786169177816,0.22246158498349314,50,20000,8611503373718078516
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,explorer,f1_at_7,0.16,0.12460683691815304,0.12571428571428572,0.19428571428571428,50,20000,8288150389695795478
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,explorer,ndcg_at_7,0.1632847920045922,0.14163976111159657,0.12500799383757533,0.2032630977984917,50,20000,5127522278908144754
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,loyal,f1_at_7,0.24857142857142855,0.1437580919620924,0.20857142857142857,0.28857142857142853,50,20000,1350782772700147708
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,loyal,ndcg_at_7,0.27329461169155955,0.17117419972645345,0.22698353347762684,0.3201685913995538,50,20000,16845909710860998247
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,balanced,f1_at_7,0.22,0.1477584845705955,0.17999999999999997,0.26,50,20000,6092108252969528134
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,balanced,ndcg_at_7,0.2522342110569202,0.16988528457315838,0.20717331101195044,0.29886237292431844,50,20000,16507368622247717503
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,all_profiles_mean_within_run,f1_at_7,0.2148571428571428,0.06612748784025677,0.19657142857142854,0.2331428571428571,50,20000,1145797729067212175
evaluation_only_posthoc_oracle_not_for_tuning,0.8,0.19999999999999996,all_profiles_mean_within_run,ndcg_at_7,0.23738746934326255,0.07291088582049426,0.21744174226545496,0.25754690387854207,50,20000,5921021634673463654
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,budget,f1_at_7,0.25142857142857145,0.1621389719676833,0.20857142857142855,0.2971428571428571,50,20000,11976227789117868484
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,budget,ndcg_at_7,0.2898821509940739,0.1943457815241611,0.2367129059352282,0.3432596122452586,50,20000,9324627288692299061
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,quality_seeker,f1_at_7,0.12285714285714286,0.11903401282789947,0.09142857142857144,0.15714285714285714,50,20000,6651536950876223629
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,quality_seeker,ndcg_at_7,0.14431628179105974,0.1458612543112193,0.10565387273540398,0.18517009152876604,50,20000,14397324985414524039
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,explorer,f1_at_7,0.10857142857142858,0.11384755657943962,0.07714285714285714,0.14,50,20000,17015536364723870555
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,explorer,ndcg_at_7,0.1233819744790795,0.13388082609597562,0.08736756502907071,0.16024976812941513,50,20000,7605651597810813987
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,loyal,f1_at_7,0.18,0.1347866100078234,0.14285714285714285,0.2171428571428571,50,20000,13446682249553863574
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,loyal,ndcg_at_7,0.21695260699292698,0.17173961507294294,0.17109588439546228,0.2638615509753551,50,20000,14343834980703533955
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,balanced,f1_at_7,0.17428571428571424,0.10910258289488703,0.14571428571428569,0.20571428571428568,50,20000,13191640893865495477
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,balanced,ndcg_at_7,0.2050689487619624,0.14799481474545842,0.16585807653365942,0.24743752962634136,50,20000,4615705504270253695
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,all_profiles_mean_within_run,f1_at_7,0.1674285714285714,0.05445883091739694,0.15200000000000002,0.18228571428571427,50,20000,6465521414450859069
evaluation_only_posthoc_oracle_not_for_tuning,0.9,0.09999999999999998,all_profiles_mean_within_run,ndcg_at_7,0.19592039260382052,0.0660222050950483,0.1779269007520494,0.21424002948530704,50,20000,13601659301681545440
