metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,hybrid,0.4144300490599623,0.07899575313485964,0.39316574180546515,0.4367340246909686,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15879874566266552,0.20815031521289434,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012499675230558137,0.034697311121339,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,rl_only,0.24085675818451818,0.08093615004940027,0.21877791645218486,0.26362933379849335,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2543506804632465,0.2933167366845377,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,hybrid,0.5965714285714285,0.07338770970010627,0.5760000000000001,0.6165714285714287,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.17257142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,rl_only,0.24914285714285714,0.05567801764891406,0.23428571428571424,0.26457142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571427,0.2765714285714285,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,hybrid,0.6505391716084626,0.07651780267168781,0.6296352479138795,0.6716922571513029,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15900487359276425,0.2075240910656195,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012505545087044117,0.034867462735256136,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,rl_only,0.26970901584157064,0.0703296717431518,0.25117865921657023,0.28932435463955936,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,hidden30_only,0.0,component_continuous_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2539918662652786,0.29331127761829207,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,hybrid,0.472,0.07706399164869189,0.4508571428571429,0.49371428571428566,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.1731428571428571,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,rl_only,0.14685714285714285,0.05506726037626869,0.132,0.1617142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.276,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,hybrid,0.4896310385709261,0.08205007221142081,0.4674831903182048,0.5119597693978509,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15917678405489974,0.20780758634589297,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012544543898839697,0.035104510315346546,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,rl_only,0.15245994153899015,0.0624794895958616,0.13567108681038378,0.16946751203805532,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,hidden30_only,0.0,implemented_r0,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2544051533073176,0.2934312518716796,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,hybrid,0.56,0.06581434896570244,0.5417142857142858,0.5777142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.17257142857142857,50
