anchor,row_type,profile,metric,checkpoint,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,5000,rl_only,0.05428571428571428,0.08106948598384166,0.03428571428571428,0.07714285714285714,50,20000,10329672153733407493
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,10000,hybrid,0.3142857142857143,0.160694038245139,0.2714285714285714,0.35714285714285715,50,20000,1261252379530107705
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,10000,rl_only,0.06285714285714286,0.08735075330217427,0.039999999999999994,0.08857142857142856,50,20000,7824287638327371445
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,20000,hybrid,0.27999999999999997,0.15261158445583606,0.23714285714285716,0.3228571428571428,50,20000,8893436882527719387
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,20000,rl_only,0.07999999999999999,0.0919953279149767,0.05428571428571429,0.1057142857142857,50,20000,13289702676103286831
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,30000,hybrid,0.31714285714285706,0.16652360929653345,0.2742142857142857,0.3628571428571428,50,20000,3127839995710273100
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,30000,rl_only,0.07999999999999999,0.09641642294708339,0.05428571428571428,0.10571428571428573,50,20000,15234758066302521219
primary_corrected,final_profile_descriptive,explorer,f1_at_7,30000,hybrid,0.31714285714285706,0.16652360929653345,0.27428571428571424,0.3628571428571428,50,20000,9259950218956298838
primary_corrected,final_profile_descriptive,explorer,f1_at_7,30000,rl_only,0.07999999999999999,0.09641642294708339,0.05428571428571428,0.10857142857142855,50,20000,6803554906532286020
primary_corrected,final_profile_descriptive,explorer,f1_at_7,30000,topsis_only,0.34857142857142853,0.1418624260978185,0.30857142857142855,0.3857142857142857,50,20000,15168175790321753146
primary_corrected,final_profile_descriptive,explorer,f1_at_7,30000,popularity,0.21428571428571427,0.1613406969473663,0.17142857142857137,0.25999999999999995,50,20000,3054625532309716238
primary_corrected,final_profile_descriptive,explorer,f1_at_7,30000,random,0.014285714285714284,0.04329225190938046,0.002857142857142857,0.02571428571428571,50,20000,7324797119728009389
primary_corrected,final_profile_descriptive,explorer,ndcg_at_7,30000,hybrid,0.3141124582559275,0.1725557900673664,0.2679591594560717,0.362514451647356,50,20000,10470170628021217973
primary_corrected,final_profile_descriptive,explorer,ndcg_at_7,30000,rl_only,0.09539459687326471,0.11843718271988263,0.06385880586298193,0.12847336545619714,50,20000,9290105175338249738
primary_corrected,final_profile_descriptive,explorer,ndcg_at_7,30000,topsis_only,0.34683572520755307,0.1552041424711536,0.30420849811945644,0.38892347023974627,50,20000,367995316871850058
primary_corrected,final_profile_descriptive,explorer,ndcg_at_7,30000,popularity,0.2909103494771357,0.21408159489354436,0.23229406205023653,0.3499677421525087,50,20000,16172516945993872500
primary_corrected,final_profile_descriptive,explorer,ndcg_at_7,30000,random,0.015505610520288144,0.0516037424125838,0.003468553139764789,0.031207685673002042,50,20000,8200698252706747685
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,500,hybrid,0.13142857142857142,0.1348792787090474,0.09428571428571429,0.16857142857142857,50,20000,3941534303460972830
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,500,rl_only,0.03142857142857143,0.0663814529277167,0.014285714285714284,0.05142857142857142,50,20000,7935070513080882446
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,1000,hybrid,0.16285714285714284,0.1291048216647731,0.12857142857142856,0.19999999999999996,50,20000,10315750507094688395
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,1000,rl_only,0.04285714285714286,0.07771197046799906,0.022857142857142857,0.0657142857142857,50,20000,10379580095786838189
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,2000,hybrid,0.1971428571428571,0.10756476696411785,0.16857142857142854,0.22571428571428573,50,20000,7999408808246885321
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,2000,rl_only,0.045714285714285714,0.07872367968157515,0.02571428571428571,0.06857142857142856,50,20000,2104711919093993451
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,5000,hybrid,0.24571428571428572,0.12593672343299192,0.2114285714285714,0.28,50,20000,5950958389604639208
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,5000,rl_only,0.07142857142857142,0.08289835106771387,0.04857142857142857,0.09428571428571429,50,20000,10610912822613917077
